 Re{Ex} Im{Ex} Re{Ey} Im{Ey} Re{Ez} Im{Ez} Re{Hx} Im{Hx} Re{Hy} Im{Hy} Re{Hz} Im{Hz}
  0.54711621E-09  0.15793871E-09 -0.24651939E-25  0.26220411E-26  0.26286666E-10 -0.18496566E-10 -0.12980568E-28 -0.16791016E-29 -0.21434008E-12 -0.55238727E-13 -0.20796085E-28 -0.69494583E-29
  0.29475019E-09  0.11055592E-09 -0.15477623E-25  0.11450071E-26  0.15584002E-10 -0.14351469E-10 -0.94414559E-29 -0.18792880E-29 -0.14106094E-12 -0.47156675E-13 -0.13332433E-28 -0.60004561E-29
  0.16963414E-09  0.79238256E-10 -0.10483831E-25  0.22019193E-27  0.10636328E-10 -0.11070565E-10 -0.70591577E-29 -0.19556623E-29 -0.97062689E-13 -0.40633711E-13 -0.88309554E-29 -0.51550019E-29
  0.10236651E-09  0.57828426E-10 -0.74558248E-26 -0.35639870E-27  0.79378233E-11 -0.84874815E-11 -0.53743381E-29 -0.19511995E-29 -0.68886836E-13 -0.35211959E-13 -0.59482226E-29 -0.44057422E-29
  0.64051060E-10  0.42840929E-10 -0.54702976E-26 -0.70515446E-27  0.62562276E-11 -0.64595861E-11 -0.41377025E-29 -0.18932416E-29 -0.49990268E-13 -0.30620166E-13 -0.40265638E-29 -0.37455721E-29
  0.41273867E-10  0.32161897E-10 -0.40925432E-26 -0.90179706E-27  0.50954741E-11 -0.48724697E-11 -0.32049984E-29 -0.18003766E-29 -0.36877502E-13 -0.26685080E-13 -0.27112311E-29 -0.31673814E-29
  0.27280573E-10  0.24444418E-10 -0.30970518E-26 -0.99614502E-27  0.42330051E-11 -0.36351350E-11 -0.24877081E-29 -0.16857530E-29 -0.27541370E-13 -0.23288378E-13 -0.17959478E-29 -0.26640277E-29
  0.18453279E-10  0.18799437E-10 -0.23569988E-26 -0.10220043E-26  0.35592078E-11 -0.26749664E-11 -0.19285922E-29 -0.15588671E-29 -0.20761910E-13 -0.20344152E-13 -0.11534496E-29 -0.22284174E-29
  0.12759647E-10  0.14625077E-10 -0.17959639E-26 -0.10027795E-26  0.30152570E-11 -0.19338174E-11 -0.14888859E-29 -0.14266242E-29 -0.15763035E-13 -0.17786546E-13 -0.70144024E-30 -0.18536198E-29
  0.90148323E-11  0.11506309E-10 -0.13650793E-26 -0.95485832E-27  0.25668663E-11 -0.13650857E-11 -0.11412589E-29 -0.12940222E-29 -0.12032415E-13 -0.15562714E-13 -0.38468335E-30 -0.15329781E-29
  0.65074208E-11  0.91529443E-11 -0.10314679E-26 -0.88976047E-27  0.21923880E-11 -0.93148260E-12 -0.86576911E-30 -0.11646223E-29 -0.92214299E-14 -0.13628732E-13 -0.16500604E-30 -0.12601993E-29
  0.47999139E-11  0.73598393E-11 -0.77204790E-27 -0.81556027E-27  0.18770934E-11 -0.60327515E-12 -0.64744286E-30 -0.10408901E-29 -0.70868894E-14 -0.11947159E-13 -0.15425853E-31 -0.10294192E-29
  0.36178305E-11  0.59806053E-11 -0.57003991E-27 -0.73786108E-27  0.16102849E-11 -0.35686439E-12 -0.47477201E-30 -0.92445240E-30 -0.54556441E-14 -0.10485556E-13  0.83456528E-31 -0.83524289E-30
